Category,Technique,Description
Natural Framing,Tunnel Vision,Using natural archways or openings to frame subject
Natural Framing,Branch Framing,Strategic use of tree branches to create organic borders
Natural Framing,Cave Aperture,Utilizing cave openings to frame landscapes
Natural Framing,Rock Formation Frame,Using natural rock formations to create boundaries
Natural Framing,Waterfall Curtain,Using falling water as a dynamic frame
Natural Framing,Foliage Window,Creating viewports through dense vegetation
Natural Framing,Cloud Formation,Using cloud patterns as natural top frames
Natural Framing,Ice Formation,Using icicles or ice structures as natural frames
Natural Framing,Sand Dune Lines,Using desert formations as natural leading lines
Natural Framing,Mountain Pass,Using valley walls as natural vertical frames
Architectural,Doorway Composition,Using architectural doorways as frames
Architectural,Window Frame,Utilizing window structures as viewing portals
Architectural,Archway Framing,Using architectural arches to frame subjects
Architectural,Column Framing,Using vertical columns to create side frames
Architectural,Stairway Leading,Using staircase architecture as frame elements
Architectural,Bridge Structure,Using bridge elements to create frame boundaries
Architectural,Urban Canyon,Using tall buildings as vertical frame elements
Architectural,Tunnel Perspective,Using tunnel structures for depth framing
Architectural,Balcony View,Using balcony elements to frame landscapes
Architectural,Corridor Frame,Using hallway perspective for natural framing
Light Techniques,Shadow Cast Frame,Using projected shadows as frame elements
Light Techniques,Light Beam Frame,Using visible light beams as natural frames
Light Techniques,Silhouette Border,Using backlit subjects as frame elements
Light Techniques,Spotlight Frame,Using focused light to create natural vignettes
Light Techniques,Rainbow Frame,Using prismatic effects as color frames
Light Techniques,Lens Flare Frame,Using controlled lens flare as frame elements
Light Techniques,Fire Frame,Using flame or ember effects as dynamic frames
Light Techniques,Reflection Frame,Using water reflections as bottom frames
Light Techniques,Bokeh Border,Using out-of-focus lights as frame elements
Light Techniques,Sunset Silhouette,Using sunset glow as natural frame
Experimental,Smoke Screen,Using controlled smoke as dynamic frames
Experimental,Water Droplet,Using macro water drops as natural lenses
Experimental,Crystal Refraction,Using crystal elements for prismatic framing
Experimental,Mirror Fragments,Using broken mirror pieces as frame elements
Experimental,Thread Cross,Using suspended threads for subtle framing
Experimental,Fabric Flow,Using flowing fabric as dynamic frame elements
Experimental,Paint Splash,Using liquid paint as abstract frame elements
