Category,Technique,Description
Narrative Perspective,First Person,The story is told from the perspective of a character within the story using "I" or "we".
Narrative Perspective,Third Person Limited,The narrator knows the thoughts and feelings of one character but describes others externally.
Narrative Perspective,Third Person Omniscient,The narrator knows the thoughts and feelings of all characters in the story.
Narrative Perspective,Second Person,The narrator addresses the reader as "you", making them a character in the story.
Narrative Perspective,Stream of Consciousness,A narrative mode that attempts to depict the multitudinous thoughts and feelings which pass through the mind.
Narrative Perspective,Unreliable Narrator,A narrator whose credibility has been seriously compromised.
Narrative Perspective,Multiple Perspectives,The story is told from the viewpoints of multiple characters.
Narrative Structure,In Media Res,Starting the story in the middle of the action.
Narrative Structure,Non-linear Narrative,Events are portrayed out of chronological order.
Narrative Structure,Frame Story,A story within a story.
Narrative Structure,Circular Narrative,The story ends where it began.
Narrative Structure,Flashback,An interjected scene that takes the narrative back in time from the current point.
Narrative Structure,Flashforward,A scene that temporarily takes the narrative forward in time.
Narrative Structure,Epistolary,The story is told through a series of documents like letters or diary entries.
Narrative Structure,Quest Narrative,The protagonist embarks on a journey to achieve a goal.
Narrative Structure,Parallel Narratives,Two or more separate stories are told simultaneously.
Narrative Structure,Reverse Chronology,The story is told backwards from the end to the beginning.
Literary Device,Allegory,The story can be interpreted to reveal a hidden meaning, typically a moral or political one.
Literary Device,Symbolism,Using symbols to represent ideas or qualities.
Literary Device,Irony,The expression of one's meaning by using language that normally signifies the opposite.
Literary Device,Foreshadowing,A warning or indication of a future event.
Literary Device,Metaphor,A figure of speech in which a word or phrase is applied to an object or action to which it is not literally applicable.
Literary Device,Simile,A figure of speech involving the comparison of one thing with another thing of a different kind.
Literary Device,Hyperbole,Exaggerated statements or claims not meant to be taken literally.
Literary Device,Personification,Attributing human characteristics to something non-human.
Literary Device,Allusion,An expression designed to call something to mind without mentioning it explicitly.
Literary Device,Satire,The use of humor, irony, exaggeration, or ridicule to expose and criticize people's stupidity or vices.
Literary Device,Motif,A distinctive feature or dominant idea in an artistic or literary composition.
Literary Device,Chekhov's Gun,Every element in a story must be necessary, and irrelevant elements should be removed.
Literary Device,Deus Ex Machina,An unexpected power or event saving a seemingly hopeless situation.
Literary Device,Red Herring,A clue that is intended to be misleading or distracting.
Literary Device,Pathetic Fallacy,The attribution of human feelings and responses to inanimate things or animals.
Pacing,Fast-paced,The story moves quickly with rapid events and high tension.
Pacing,Slow Burn,The story develops slowly, building tension and character depth over time.
Pacing,Real-time,The events of the story unfold at the same speed as the reader reads them.
Tone,Dark,The story has a gloomy, pessimistic, or serious atmosphere.
Tone,Whimsical,The story is playful, fanciful, and appealing.
Tone,Satirical,The story uses humor to criticize or mock.
Tone,Melancholic,The story has a feeling of pensive sadness.
Tone,Suspenseful,The story creates a feeling of excited or anxious uncertainty about what may happen.
Tone,Humorous,The story is intended to cause laughter.
Tone,Romantic,The story is conducive to or characterized by the expression of love.
Tone,Gothic,The story combines elements of fear, horror, death, and gloom, as well as romantic elements.
Tone,Optimistic,The story reflects a hopeful and confident view of the future.
Tone,Cynical,The story reflects a belief that people are motivated purely by self-interest.
Setting,Confined Space,The story takes place in a limited, enclosed area.
Setting,Sprawling World,The story takes place across a vast, detailed world.
Setting,Dystopian Future,The story is set in an imagined state or society where there is great suffering or injustice.
Setting,Historical Period,The story is set in a specific past time period.
Setting,Urban Environment,The story takes place in a city or town.
Setting,Rural Environment,The story takes place in the countryside.
Setting,Fantastical Realm,The story is set in an imaginary world with magic or supernatural elements.
Setting,Space,The story takes place in outer space or on other planets.
Setting,Isolated Location,The story takes place in a remote area, cut off from others.
Theme,Coming of Age,The story focuses on the psychological and moral growth of the protagonist from youth to adulthood.
Theme,Redemption,The story focuses on a character making up for past mistakes.
Theme,Revenge,The story focuses on a character seeking retaliation for a wrong done to them.
Theme,Love and Loss,The story explores the complexities of relationships and grief.
Theme,Good vs Evil,The story explores the conflict between moral right and wrong.
Theme,Identity,The story explores the concept of self and who we are.
Theme,Power and Corruption,The story explores how power affects individuals and society.
Theme,Survival,The story focuses on characters trying to stay alive in difficult circumstances.
Theme,Betrayal,The story explores the violation of trust.
Theme,Courage,The story explores bravery in the face of fear.
Theme,Fate vs Free Will,The story explores the extent to which our lives are predetermined.
Theme,Technology vs Nature,The story explores the conflict between technological advancement and the natural world.
Theme,Isolation,The story explores the feeling of being alone or separated from others.
Theme,Justice,The story explores the concept of fairness and the law.
